date,open,high,low,close,volume,MACD,Signal,Hist,RSI,CMF
2006-11-14,480.7,489.95,480.5,489.3,14432300.0,4.6023514706539,4.964954278197206,-0.36260280754330587,51.581843191196704,-0.07609375699112031
2006-11-13,474.9,481.17,474.14,481.03,8675100.0,3.2785079554950016,4.627665013656766,-1.3491570581617642,47.57675716823138,-0.017943788795931913
2006-11-10,473.78,474.72,470.29,473.55,5587800.0,1.6072515495386028,4.023582320833134,-2.4163307712945308,45.59270516717325,0.02292448800645382
2006-11-09,476.5,479.49,471.86,472.63,9748600.0,0.20615605712788465,3.260097068092084,-3.0539410109641993,42.30672056594239,-0.011457046139697455
2006-11-08,470.35,481.74,468.6,475.0,15914000.0,-0.7048578592295485,2.4671060826277578,-3.1719639418573062,44.07029617795257,0.026709985377937263
2006-11-07,476.955,479.02,471.77,472.57,9784400.0,-1.6044287867549087,1.6527991087512246,-3.2572278955061336,39.27802406586447,-0.009825418621527636
2006-11-06,473.77,479.66,472.33,476.95,9973000.0,-1.9415350258501576,0.9339322818309483,-2.875467307681106,45.036905064902,0.004345197158051866
2006-11-03,472.23,473.75,465.0615,471.798,9805500.0,-2.5945096003453045,0.22824390539569783,-2.8227535057410025,23.849280110897567,0.01256075690649524
2006-11-02,467.5,473.73,466.38,469.91,10462900.0,-3.2271419923246754,-0.4628332741483769,-2.7643087181762986,19.451571520205263,0.03742922607773085
2006-11-01,478.755,479.13,465.26,467.5,10841700.0,-3.878268316612491,-1.1459202826411998,-2.7323480339712916,16.616505623316982,0.01794077184655065
2006-10-31,478.06,482.16,473.84,476.39,12558200.0,-3.6350394445689744,-1.6437441150267549,-1.9912953295422195,33.75130616509925,0.0308469210312547
2006-10-30,474.82,480.46,470.01,476.57,13113000.0,-3.3886915881864184,-1.9927336096586878,-1.3959579785277305,29.37244708503526,-0.019736880314161043
2006-10-27,483.901,485.24,472.49,475.2,13194700.0,-3.266354189730805,-2.247457725673111,-1.0188964640576939,30.225448987390138,0.011954242442825986
2006-10-26,487.68,491.96,484.2,485.1,14049300.0,-2.343538801314253,-2.2666739408013394,-0.07686486051291341,44.139351295692485,-0.028685644712336106
2006-10-25,477.49,488.5,475.11,486.601,18356600.0,-1.4740904052464998,-2.1081572336903713,0.6340668284438715,47.63829824469294,0.04111584920730504
2006-10-24,476.28,477.86,471.41,473.31,17303000.0,-1.8363506031392944,-2.053795907580156,0.21744530444086152,43.79041858370067,-0.05450085535780933
2006-10-23,462.28,484.64,460.37,480.78,30178700.0,-1.503348187207564,-1.9437063635056375,0.4403581762980735,55.81638563521687,0.03468786202134646
2006-10-20,458.99,460.1,453.59,459.67,23272500.0,-2.909305289401118,-2.1368261486847335,-0.7724791407163845,42.13038303660344,0.07714109493432128
2006-10-19,420.23,454.91,419.57,426.06,22983900.0,-6.658823756482661,-3.0412256702443194,-3.617598086238342,28.456093395080202,0.012217541695003994
2006-10-18,422.995,424.75,417.5,419.31,12022500.0,-10.059058182184913,-4.444792172632438,-5.614266009552475,27.41344506454513,0.05034761475764761
2006-10-17,420.3,423.75,416.702,420.64,10411500.0,-12.502329505089165,-6.056299639123783,-6.446029865965381,25.485842649670857,0.01073632630076676
2006-10-16,427.7,429.2,421.34,421.75,8630100.0,-14.18554972098184,-7.682149655495395,-6.503400065486445,27.417200613663013,-0.046989482601642055
2006-10-13,427.76,429.5,425.56,427.3,7237700.0,-14.899918269376542,-9.125703378271623,-5.7742148911049185,31.388461807254174,-0.05915247402153795
2006-10-12,428.56,429.68,424.0,427.44,9678300.0,-15.278640997954994,-10.356290902208297,-4.9223500957466975,32.14826830181279,-0.024046877099648468
2006-10-11,425.02,429.91,423.76,426.5,11259500.0,-15.476231272505572,-11.380278976267753,-4.095952296237819,26.07240148870045,-0.027415600686812012
2006-10-10,431.56,437.85,422.39,426.65,19557600.0,-15.442705347751712,-12.192764250564547,-3.2499410971871647,26.051121644182572,-0.030526946544649037
2006-10-09,424.8,431.95,423.42,429.0,15151400.0,-15.052988963995801,-12.764809193250798,-2.2881797707450033,28.042242542917435,-0.0228359383507463
2006-10-06,410.22,421.91,409.7501,420.5,14658300.0,-15.254174259184254,-13.26268220643749,-1.9914920527467643,18.883065836881713,-0.0025928636662052836
2006-10-05,414.7,418.24,410.86,411.81,11568000.0,-15.931180695480748,-13.796381904246143,-2.134798791234605,16.3076285464587,-0.030205598808116022
2006-10-04,404.97,415.77,403.05,415.7,13310200.0,-15.969733536505316,-14.23105223069798,-1.7386813058073365,21.645831282606522,0.03873393225727134
2006-10-03,401.29,406.46,398.19,404.04,10918400.0,-16.748089938601368,-14.734459772278658,-2.0136301663227094,13.726602382302886,0.07057508009700565
2006-10-02,401.9,406.0,400.8,401.44,7296400.0,-17.37445931416272,-15.262459680655471,-2.1119996335072493,16.638019938123037,0.0415746006525461
2006-09-29,405.125,405.62,401.41,401.9,6615100.0,-17.630509858386972,-15.736069716201772,-1.8944401421852,27.679231337767874,0.05136145974837385
2006-09-28,404.08,406.98,400.54,403.58,10204500.0,-17.496184673851758,-16.088092707731768,-1.40809196611999,33.96534148827723,0.0884853059572217
2006-09-27,406.3,411.22,402.37,402.92,11741600.0,-17.244206997377148,-16.319315565660844,-0.9248914317163042,31.686647374948336,0.005102898402728001
2006-09-26,405.5,407.68,401.77,406.87,10568200.0,-16.535173695325796,-16.362487191593836,-0.17268650373195982,35.474424053104244,0.060533717064737196
2006-09-25,405.58,409.45,402.5,403.98,11463100.0,-16.02176955616494,-16.29434366450806,0.2725741083431181,25.988467874794026,-0.04418318973135352
2006-09-22,404.98,407.45,401.36,403.78,9289900.0,-15.452899993504332,-16.126054930307316,0.6731549368029839,25.668449197860923,-0.14105430275422315
2006-09-21,400.3,408.45,399.86,406.85,21362800.0,-14.586202757875583,-15.818084495820969,1.2318817379453861,30.64039408866998,-0.02206447949489113
